time,ax,ay,az,atotal
0.016393184661865234,-0.12,0.17,-0.4,0.45
0.017097949981689453,-0.22,0.12,0.0,0.25
0.025037050247192383,-0.21,0.04,0.0,0.21
0.0352630615234375,-0.1,0.02,-0.1,0.14
0.044976234436035156,-0.01,-0.08,-0.03,0.08
0.055481910705566406,-0.11,-0.06,0.05,0.13
0.06526708602905273,-0.17,-0.01,0.09,0.19
0.0751800537109375,-0.14,0.01,-0.06,0.15
0.08563709259033203,-0.19,0.01,-0.04,0.19
0.09534120559692383,-0.21,-0.02,0.1,0.23
0.10531091690063477,-0.18,0.01,0.09,0.2
0.11527490615844727,-0.2,0.05,-0.02,0.2
0.1251392364501953,-0.17,0.05,-0.15,0.23
0.13551807403564453,-0.15,0.07,-0.22,0.27
0.14499711990356445,-0.16,-0.03,-0.3,0.34
0.15516424179077148,-0.11,-0.02,-0.52,0.53
0.16503405570983887,-0.17,0.05,-0.43,0.46
0.17508792877197266,-0.16,0.01,-0.25,0.29
0.1853961944580078,-0.2,-0.07,-0.15,0.25
0.19489312171936035,-0.16,-0.03,-0.07,0.17
0.20496225357055664,-0.03,0.03,-0.17,0.17
0.2149372100830078,-0.05,0.01,-0.23,0.23
0.22472000122070312,-0.06,0.02,-0.27,0.27
0.23478007316589355,-0.07,0.02,-0.28,0.28
0.2448749542236328,-0.08,0.01,-0.28,0.29
0.2547340393066406,0.07,-0.06,-0.1,0.13
0.26474618911743164,-0.24,-0.19,0.02,0.3
0.27451205253601074,-0.27,0.38,-0.43,0.63
0.284635066986084,-0.34,0.24,-0.24,0.48
0.29465723037719727,-0.2,-0.03,-0.15,0.25
0.3047020435333252,-0.15,-0.06,-0.09,0.18
0.3146800994873047,-0.14,0.04,-0.19,0.23
0.3245811462402344,-0.06,0.09,-0.25,0.27
0.33437013626098633,-0.08,-0.06,-0.22,0.24
0.34432315826416016,-0.21,0.13,-0.39,0.46
0.3544440269470215,-0.26,0.19,-0.3,0.44
0.3643951416015625,-0.2,-0.04,-0.22,0.3
0.3742361068725586,-0.15,-0.04,-0.19,0.24
0.3845560550689697,-0.16,0.04,-0.19,0.25
0.3942680358886719,-0.13,0.04,-0.2,0.24
0.40424489974975586,-0.1,0.02,-0.16,0.18
